timediff; x; y; z; forward_x; forward_y; forward_z
38,6435854;-0,2910429;1,0804;1,393487;0,5453474;0,4166667;-0,7273136
38,9076909;0;0;0;0;0;1
38,9076909;0;0;0;0;0;1
38,9106776;-0,2373199;0,9932975;1,469984;0,4229729;0,5320126;-0,7335235
39,1741917;0;0;0;0;0;1
39,1741917;0;0;0;0;0;1
39,1771822;-0,1980833;0,8875717;1,541492;0,2164608;0,3682423;-0,9041805
39,4411521;0;0;0;0;0;1
39,4411521;0;0;0;0;0;1
39,4431458;-0,1899467;0,8268323;1,541769;0,1618531;0,4660202;-0,8698443
39,6624149;0;0;0;0;0;1
39,6634119;0;0;0;0;0;1
39,6654056;-0,1957214;0,7891564;1,524957;0,03427694;0,4728011;-0,8805023
39,9292439;0;0;0;0;0;1
39,9292439;0;0;0;0;0;1
39,9322295;-0,2114987;0,7692094;1,532405;-0,03603942;0,4981815;-0,8663237
40,1961512;0;0;0;0;0;1
40,1961512;0;0;0;0;0;1
40,1991416;-0,2151678;0,7555199;1,538879;-0,04925819;0,4312153;-0,9009036
40,4177486;0;0;0;0;0;1
40,4177486;0;0;0;0;0;1
40,4197423;-0,2150001;0,7574387;1,538812;-0,04642973;0,4434751;-0,8950835
40,684688;0;0;0;0;0;1
40,685688;0;0;0;0;0;1
40,6876817;-0,2149032;0,7572125;1,539154;-0,04669087;0,4438601;-0,8948789
40,9508816;0;0;0;0;0;1
40,9518818;0;0;0;0;0;1
40,9538755;-0,2149778;0,7572635;1,539155;-0,04674178;0,444395;-0,8946107
41,2173881;0;0;0;0;0;1
41,2173881;0;0;0;0;0;1
41,2203784;-0,2148256;0,757017;1,539205;-0,04654756;0,4447632;-0,8944378
41,4398252;0;0;0;0;0;1
41,4398252;0;0;0;0;0;1
41,4428155;-0,2148206;0,7573314;1,539345;-0,04630535;0,4444905;-0,8945861
41,705864;0;0;0;0;0;1
41,7068604;0;0;0;0;0;1
41,7088541;-0,2147393;0,7568644;1,539387;-0,0462078;0,4449279;-0,8943737
41,9730919;0;0;0;0;0;1
41,9730919;0;0;0;0;0;1
41,976082;-0,2150176;0,7570957;1,539568;-0,04640619;0,4450847;-0,8942854
42,1949943;0;0;0;0;0;1
42,1949943;0;0;0;0;0;1
42,1979846;-0,2145643;0,7568076;1,539305;-0,04620527;0,4452561;-0,8942105
42,4616896;0;0;0;0;0;1
42,4616896;0;0;0;0;0;1
42,4646798;-0,2148052;0,7569206;1,539461;-0,04650291;0,4448705;-0,894387
42,7279239;0;0;0;0;0;1
42,7279239;0;0;0;0;0;1
42,7309181;-0,214673;0,7568486;1,539671;-0,04633076;0,4453815;-0,8941414
42,9944171;0;0;0;0;0;1
42,9954134;0;0;0;0;0;1
42,9974071;-0,2146458;0,7570004;1,539604;-0,04645631;0,4453997;-0,8941259
43,2163773;0;0;0;0;0;1
43,2173741;0;0;0;0;0;1
43,2193678;-0,2148171;0,7567986;1,539634;-0,04630323;0,4453855;-0,8941409
43,4830702;0;0;0;0;0;1
43,4830702;0;0;0;0;0;1
43,4860602;-0,2145484;0,7568707;1,539583;-0,0464064;0,4455141;-0,8940716
