timediff; x; y; z; forward_x; forward_y; forward_zM; collision
15,3075474;0;0;0;0;0;1;0
15,3733726;0;0;0;0;0;1;0
15,4391558;0;0;0;0;0;1;0
15,5059287;0;0;0;0;0;1;0
15,5746987;0;0;0;0;0;1;0
15,6391434;0;0;0;0;0;1;0
15,7069124;0;0;0;0;0;1;0
15,7736887;0;0;0;0;0;1;0
15,842403;0;0;0;0;0;1;0
15,9089036;0;0;0;0;0;1;0
15,9533672;0;0;0;0;0;1;0
15,9832667;0;0;0;0;0;1;0
16,029117;0;0;0;0;0;1;0
16,0729701;0;0;0;0;0;1;0
16,1048633;0;0;0;0;0;1;0
16,1726372;0;0;0;0;0;1;0
16,2404195;0;0;0;0;0;1;0
16,3061283;0;0;0;0;0;1;0
16,3719079;0;0;0;0;0;1;0
16,4386915;0;0;0;0;0;1;0
16,5075079;0;0;0;0;0;1;0
16,5720109;0;0;0;0;0;1;0
16,6392851;0;0;0;0;0;1;0
16,7068926;0;0;0;0;0;1;0
16,7752536;0;0;0;0;0;1;0
16,8392079;0;0;0;0;0;1;0
16,8836187;0;0;0;0;0;1;0
16,9280138;0;0;0;0;0;1;0
16,984572;0;0;0;0;0;1;0
17,0380338;0;0;0;0;0;1;0
17,1172877;0;0;0;0;0;1;0
17,1720967;0;0;0;0;0;1;0
17,2524258;0;0;0;0;0;1;0
17,3052599;0;0;0;0;0;1;0
17,3837785;0;0;0;0;0;1;0
17,4387774;0;0;0;0;0;1;0
17,5190115;0;0;0;0;0;1;0
17,5718308;0;0;0;0;0;1;0
17,6502251;0;0;0;0;0;1;0
17,7050598;0;0;0;0;0;1;0
17,7853801;0;0;0;0;0;1;0
17,8382037;0;0;0;0;0;1;0
17,9169812;0;0;0;0;0;1;0
17,9713186;0;0;0;0;0;1;0
18,0520771;0;0;0;0;0;1;0
18,104897;0;0;0;0;0;1;0
18,1832468;0;0;0;0;0;1;0
18,2380618;0;0;0;0;0;1;0
18,3175351;0;0;0;0;0;1;0
18,3713509;0;0;0;0;0;1;0
18,4500878;0;0;0;0;0;1;0
18,5049042;0;0;0;0;0;1;0
18,5843426;0;0;0;0;0;1;0
18,6381626;0;0;0;0;0;1;0
18,7164872;0;0;0;0;0;1;0
18,7706161;0;0;0;0;0;1;0
18,8519421;0;0;0;0;0;1;0
18,9047645;0;0;0;0;0;1;0
18,9831821;0;0;0;0;0;1;0
19,0379985;0;0;0;0;0;1;0
19,1182498;0;0;0;0;0;1;0
19,171073;0;0;0;0;0;1;0
19,2499907;0;0;0;0;0;1;0
19,3038107;0;0;0;0;0;1;0
